(0, 0: 1) 1.0; [0.10422849698734543,0.22952901383755717]
(0, 1: 2) 0.04728034104658374; [0.010130659779507759,0.056193923098690125,9.386881387802322e-05]
(0, 2: 3) 0.39276240832777387; [0.18565539938649897,0.2837393013969462,0.3281915503974384,0.10411754840539718]
(0, 3: 4) 0.9082562015805384; [0.02057226456213283,0.006750085273420085,0.276688723602492,0.2214417736957489,0.13782225428194483]
(2, 1: 5) 0.41705687614988063; [0.0816462842022106,0.1245351248142283,0.023018046791430123,0.049048339054745815,0.2057230361954348,0.2856549807834287]
(5, 2: 6) 0.5147796173840967; [0.07532889194736633,0.010898568653649271,0.05136744404722271,0.003510408312796825,0.08016505007079139,0.09181697615038192,0.26556667342293905]
(4, 6: 7) 0.47759039978893625; [0.04939064059528519,0.17169946518994508,0.03892425139507422,0.07766413272214506,0.3277618563988888,0.0445800039515543,0.2408373001674575,0.212592461901248]
(3, 0: 8) 0.9239296141971493; [0.016391582530975574,0.11789828311726339,0.15332218421426827,0.008123132918952525,0.04586175410029178,0.0175954980724449,0.24124213855080834,0.04012962049084532,0.2957882840831639]
(3, 6: 9) 0.6642992803045795; [0.1643345893267066,0.0170021009430908,0.21539647669853781,0.029175893807035787,0.1333439375028256,0.031017415922304815,0.24871213004529935,0.03735979238932088,0.006990670447300111,0.1590723439164925]

Recognition algorithm failed for workpackage WP3_1.
