(0, 0: 1) 1.0; [0.005001930972967708,0.012055477862535538]
(0, 1: 2) 0.345425277735276; [0.02056378547128459,0.004762035556753985,0.05492332079928604]
(0, 1: 3) 0.7082626978419381; [0.13909597162924714,0.1052560940776287,0.02407018436212028,0.1587505448224027]
(1, 2: 4) 0.9779320919672164; [0.010231769180418914,0.06805263766522847,0.11707932047381747,0.06311261311322261,0.17857469735401751]
(2, 3: 5) 0.7884515422444969; [0.009426162221874805,0.04680618365323659,0.1097355459891654,0.04665870043646642,0.016058187069425713,0.02170784391649542]
(4, 1: 6) 0.8159477018597648; [0.021657087169164403,0.015151917931091573,0.02220904766591662,0.009785571340698556,0.056244576599835706,0.2793970063335324,0.13153689596978202]
(3, 1: 7) 0.07892280554081543; [0.11124894527777773,0.06425009381948486,0.23361839850216617,0.037715191768390444,0.012528216659533709,0.010387104395742384,0.09912168296795,0.04630743464083906]
(5, 0: 8) 0.0003571658354644125; [0.10024863491166669,0.10049958772434542,0.0035634700889204136,0.18738960010840788,0.06388291012451373,0.0031651596853319295,0.02725062402273233,0.034706269773745684,0.07593351648945679]
(2, 5: 9) 0.43243024682233033; [0.1816312309049323,0.2609523418679219,0.12587049525617233,0.005114853807986656,0.05351163717770516,0.24031075762125742,0.1500111940491962,0.0068071279531442,0.017852624260048116,0.1387408955788487]

Recognition algorithm failed for workpackage WP3_3_1.
